State,Total_Pop
Alabama,4767100
Alaska,701700
Arizona,7098000
Arkansas,2922500
California,38642700
Colorado,5611800
Connecticut,3453300
Delaware,940300
District of Columbia,671300
Florida,20992000
Georgia,10294000
Hawaii,1343000
Idaho,1750900
Illinois,12362300
Indiana,6511800
Iowa,3060200
Kansas,2811200
Kentucky,4319300
Louisiana,4498600
Maine,1302300
Maryland,5875500
Massachusetts,6650800
Michigan,9765600
Minnesota,5514800
Mississippi,2867100
Missouri,5939900
Montana,1039400
Nebraska,1873600
Nevada,3029700
New Hampshire,1314000
New Jersey,8699400
New Mexico,2041400
New York,18908300
North Carolina,10139700
North Dakota,731000
Ohio,11351500
Oklahoma,3826900
Oregon,4128900
Pennsylvania,12377600
Rhode Island,1017100
South Carolina,4984200
South Dakota,851300
Tennessee,6640900
Texas,28286200
Utah,3154100
Vermont,598100
Virginia,8185100
Washington,7423900
West Virginia,1739000
Wisconsin,5677100
Wyoming,562700
Puerto Rico,3164500
